Ticker,HoldingName,WeightPct
,"CANADA GOVERNMENT OF 2% 12/01/2051",1.98
,"CANADA GOVERNMENT OF 3.5% 12/01/2057",1.92
,"CANADA GOVERNMENT OF 5% 06/01/2037",1.50
,"CANADA GOVERNMENT OF 2.75% 12/01/2048",1.41
,"CANADA GOVERNMENT OF 4% 06/01/2041",1.14
,"NET OTHER ASSETS",1.03
,"Fidelity Canadian Money Market Investment Trust - Series O",0.84
,"CANADA GOVERNMENT OF 1.75% 12/01/2053",0.80
,"CANADA GOVERNMENT OF 2.75% 12/01/2055",0.76
,"CANADA GOVERNMENT OF 3.5% 12/01/2036",0.70
,"QUEBEC PROVINCE CDA 2.85% 12/01/2053",0.69
,"ENBRIDGE INC 3.1% 09/21/2033",0.68
,"CANADA GOVERNMENT OF 2.75% 12/01/2064",0.68
,"CANADA GOVERNMENT OF 3.5% 12/01/2045",0.63
,"ONTARIO PROVINCE CDA 4.7% 06/02/2037",0.57
,"ONTARIO PROVINCE CDA 3.95% 12/02/2035",0.53
,"ONTARIO PROVINCE CDA 1.9% 12/02/2051",0.52
,"ONTARIO PROVINCE CDA 3.45% 06/02/2045",0.50
,"TRANSCANADA PIPELINES LTD 3.8% 04/05/2027",0.50
,"NEXTERA ENERGY CAP HLDGS INC 4.67% 06/12/2035",0.48
,"QUEBEC PROVINCE CDA 3.5% 12/01/2048",0.48
,"CANADIAN IMPERIAL BK OF COMM 5.33%/VAR 01/20/2033",0.47
,"ONTARIO PROVINCE CDA 3.5% 06/02/2043",0.46
,"ONTARIO PROVINCE CDA 3.4% 09/08/2028",0.45
,"ONTARIO PROVINCE CDA 3.9% 06/02/2036",0.45
,"ONTARIO PROVINCE CDA 2.6% 06/02/2027",0.45
,"QUEBEC PROVINCE CDA 3.5% 12/01/2045",0.44
,"ONTARIO PROVINCE CDA 4.15% 12/02/2054",0.43
,"ONTARIO PROVINCE CDA 4.6% 12/02/2055",0.43
,"ONTARIO PROVINCE CDA 2.05% 06/02/2030",0.42
,"ONTARIO PROVINCE CDA 2.9% 12/02/2046",0.42
,"QUEBEC PROVINCE CDA 4% 09/01/2035",0.42
,"ONTARIO PROVINCE CDA 4.65% 06/02/2041",0.41
,"ONTARIO PROVINCE CDA 2.9% 06/02/2049",0.41
,"QUEBEC PROVINCE CDA 4.4% 12/01/2055",0.41
,"BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 5.15% 08/24/2034",0.40
,"ALBERTA PROVINCE CDA 2.05% 06/01/2030",0.40
,"HYDRO-QUEBEC 2.1% 02/15/2060",0.40
,"GENERAL MTRS FINL CDA LTD 5.2% 02/09/2028",0.40
,"QUEBEC PROVINCE CDA 4.45% 09/01/2034",0.38
,"INTER PIPELINE LTD/AB 4.232% 06/01/2027",0.38
,"AT&T INC 4.5% 03/12/2036",0.38
,"QUEBEC PROVINCE CDA 6.25% 06/01/2032",0.38
,"ONTARIO PROVINCE CDA 4.15% 06/02/2034",0.37
,"ENBRIDGE INC 6.625%/VAR 04/12/2078",0.37
,"ONTARIO PROVINCE CDA 4.1% 10/07/2054",0.36
,"HYDRO-QUEBEC 5% 02/15/2050",0.35
,"BANK OF NOVA SCOTIA 3.934%/VAR 05/03/2032",0.35
,"BANK OF MONTREAL QUE 6.034%/VAR 09/07/2033",0.34
,"QUEBEC PROVINCE CDA 4.2% 12/01/2057",0.34
,"BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 3% 03/17/2031",0.34
,"ROGERS COMMUNICATIONS INC 3.65% 03/31/2027",0.33
,"QUEBEC PROVINCE CDA 5.75% 12/01/2036",0.33
,"ONTARIO PROVINCE CDA 4.45% 12/02/2056",0.32
